Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0161,Cell_membrane,6.374779940651554e-4,8.312438853683062e-4,7.550859208235127e-4,5.227012630509576e-4,0.001010041328603975
H16_A0162,Cytoplasm,NaN,9.164640416452839e-7,1.1784617798044932e-6,8.722565385950462e-7,1.3255208524673442e-6
H16_A0163,Cytoplasm,2.9746030931242898e-5,4.158607822109055e-5,3.727990032026012e-5,2.376590981270516e-5,2.9258787260437145e-5
H16_A0164,Cytoplasm,5.854105676623914e-5,6.953770366331996e-5,7.507395172704123e-5,1.2450538507873261e-4,1.7602449367535292e-4
H16_A0165,Cytoplasm,5.722409613344695e-6,4.430491542987026e-6,3.491688922107404e-6,4.941408905715577e-6,3.742415923484922e-6
H16_A0166,Cytoplasm,4.181876705770643e-5,7.331234365978644e-5,4.028948264614282e-5,3.5365263639851864e-5,2.7150466646827634e-5
H16_A0167,Cytoplasm,2.2610534337810852e-4,1.9451279188714717e-4,2.3522213749367545e-4,2.0103573386016783e-4,2.429430372055436e-4
H16_A0168,Cytoplasm,NaN,4.063122293345641e-6,4.5138721652854745e-6,8.549417672574528e-8,1.7575004141534897e-6
H16_A0169,Cytoplasm,0.00035132957275499713,5.275885259489762e-4,2.8003207817590986e-4,2.6717024443021257e-4,3.899710221819996e-4
H16_A0170,Cytoplasm,5.865254578067864e-4,6.406214612535693e-4,6.356845710718001e-4,5.307871318819173e-4,4.407684417156998e-4
H16_A0171,Cytoplasm,1.6632624134135722e-4,1.0586671109196539e-4,1.121454528864046e-4,7.273468539981978e-5,5.16061825322287e-5
H16_A0172,Cytoplasm,2.1135842254563247e-4,1.1286492429632955e-4,1.7397057770855985e-4,1.80755755488891e-4,1.9957175169336343e-4
H16_A0173,Cytoplasm,5.184670053378106e-4,5.400221105364159e-4,4.167662673671082e-4,3.2874039047274734e-4,2.487622325927392e-4
H16_A0174,Cytoplasm,2.2384410536150173e-4,1.7125939092294643e-4,2.038137036887253e-4,2.1056466136069063e-4,2.865099016423444e-4
H16_A0175,Cytoplasm,2.2816110052902622e-5,2.0401026412016525e-5,1.7871789186938e-5,9.84732282512832e-6,1.988054402412353e-5
H16_A0176,Cytoplasm,2.4255319101922697e-4,2.2173826047485745e-4,2.2013572400950783e-4,2.3071824734454853e-4,1.200802177217906e-4
H16_A0177,Cytoplasm,5.982747579974797e-5,9.061514038311462e-5,6.904058405779328e-5,9.181745307063336e-5,7.45838160844175e-5
H16_A0178,Cytoplasm,8.569001762696636e-6,4.160747581117938e-5,2.8249331728197442e-5,1.2741529421467363e-5,2.934796856691524e-5
H16_A0179,Cytoplasm,6.208942922734835e-4,5.488208118219401e-4,5.395760267470335e-4,5.783164870496293e-4,5.886264029425806e-4
H16_A0180,Cell_membrane,5.6545959285065284e-5,1.1536737832983351e-4,1.55066648209496e-4,1.920805898537313e-4,2.803982871946072e-4
H16_A0181,Cytoplasm,2.659479177226372e-5,5.635000073644816e-5,5.642318384581459e-5,7.291476975045863e-5,1.0406088857977002e-4
H16_A0182,Cytoplasm,2.4002046916006233e-4,2.2500750641050044e-4,1.2957804062188198e-4,2.0052340960509383e-4,2.5075519987061937e-4
H16_A0183,Cytoplasm,5.418245949681437e-5,1.0374905801978307e-4,1.448026283399187e-4,1.2437412595281574e-4,3.529770542466916e-4
H16_A0184,Cytoplasm,4.805216276378773e-5,3.5302104641493125e-5,3.9477173286260465e-5,6.346729909782417e-5,6.579980613623457e-5
H16_A0185,Cytoplasm,1.6150007175077014e-4,2.0830586903517034e-4,2.151600123657406e-4,2.0868095419104108e-4,2.2669334988697e-4
H16_A0186,Cytoplasm,5.653533041378678e-4,5.168788194559549e-4,5.420822527162693e-4,4.873658226866726e-4,3.453405033807478e-4
H16_A0187,Cytoplasm,3.321872502007591e-4,3.2623159549111444e-4,3.336692932659304e-4,2.8273699120279444e-4,2.3687668149637023e-4
H16_A0188,Cytoplasm,1.8039138514468366e-4,2.994153099665164e-4,2.3474697745613137e-4,2.103234069407173e-4,1.7086741402238924e-4
H16_A0190,Cytoplasm,1.4762466281527888e-5,3.0052360191474987e-5,2.4180699487392825e-5,4.4845242176654105e-5,4.596787913435943e-5
H16_A0191,Cell_membrane,3.7636871456250587e-7,4.809615558696572e-7,2.3421472305217713e-7,1.4130319142098105e-7,5.81946388841894e-7
H16_A0193,Cytoplasm,1.52982422697176e-4,1.5312203637064814e-4,1.843391859356692e-4,1.9682979316241005e-4,2.0599582140281512e-4
H16_A0194,Cytoplasm,0.0017946543328823269,0.0015335739495172698,0.001480605845374157,0.0012101924853908635,0.0010084447065582469
H16_A0195,Cytoplasm,5.185972340064198e-4,4.910814986294317e-4,5.606217529474164e-4,5.026179111876016e-4,6.086493001999569e-4
H16_A0196,Cytoplasm,5.193651000097878e-5,5.384684863984784e-5,5.685391317407427e-5,5.9981383942338325e-5,7.544430222106511e-5
H16_A0197,Cell_membrane,2.1689152472387522e-4,1.8552307607560837e-4,1.6865961645450958e-4,9.470961761595994e-5,1.933414491113049e-4
H16_A0198,Cytoplasm,0.00310710377516679,0.0031761199063023203,0.0038992728119700503,0.003335706322620851,0.002789202505612014
H16_A0199,Cytoplasm,3.231308010001887e-6,8.72065041145181e-6,1.2151317225592631e-5,7.84263458407061e-6,6.956230773060495e-6
H16_A0200,Cytoplasm,3.23362395580403e-4,4.2222058100829395e-4,4.5638232702972776e-4,4.419813139978648e-4,5.091697026045176e-4
H16_A0202,Cytoplasm,3.744840602319022e-5,4.227419591053259e-5,5.849773326518018e-5,8.008089730270171e-5,6.405099297779137e-5
H16_A0203,Cell_membrane,2.978698752221045e-5,7.576841210937721e-6,9.594617291548233e-6,1.3600990307793367e-5,1.677235044920464e-5
H16_A0204,Cytoplasm,3.1854336723111305e-4,2.5818803820185153e-4,2.7980201203943293e-4,7.972745250666534e-4,2.0604533687842852e-4
H16_A0205,Cytoplasm,3.21409932251476e-5,5.234403865418762e-5,5.3864814938060256e-5,6.545922844721622e-5,7.338489166557563e-5
