gene,model,barseq
H16_A1553,0,0
H16_B0633,0,0
H16_A3634,0,0
H16_B1249,0,0
H16_B1475,0,1
H16_B1090,0,0
H16_B2049,0,0
H16_A1554,0,0
H16_A1422,0,0
H16_B2068,0,0
H16_B1112,0,0
H16_B0287,0,0
H16_A2703,1,1
H16_A0229,0,0
H16_B0917,0,0
H16_A0228,0,0
H16_A0453,0,1
H16_A1772,1,0
H16_A0391,1,1
H16_B0842,0,0
H16_A3417,0,0
H16_B0301,0,0
H16_A3042,0,0
H16_A1083,0,0
H16_A1084,0,0
H16_A1081,0,0
H16_A2920,0,1
H16_B1387,0,1
H16_A0174,0,0
H16_A3318,0,0
H16_A2446,1,1
H16_A0802,0,0
H16_B0476,0,0
H16_B0072,0,0
H16_A3253,0,1
H16_A2053,0,1
H16_B0096,0,0
H16_A3155,0,0
H16_A2871,1,1
H16_B2531,0,1
H16_A0042,0,0
PHG252,0,0
H16_A2042,1,1
H16_A3090,0,0
H16_A2969,0,0
H16_B2534,0,0
H16_B1843,0,0
H16_A2946,0,0
H16_A0135,0,0
H16_A3313,0,0
H16_A0291,0,0
H16_A3272,0,1
H16_A3167,0,0
H16_A0428,0,0
H16_B0081,0,0
H16_A1041,0,0
H16_A1027,1,1
H16_A3061,1,1
H16_A2610,1,1
H16_A3031,0,0
H16_B2169,0,0
H16_A1337,0,0
H16_A0955,0,0
H16_A3414,0,1
H16_A0569,0,0
H16_A3057,0,0
H16_B0680,0,1
H16_B2113,0,0
H16_B0353,0,0
H16_A2635,0,0
H16_B2555,0,0
H16_B2288,0,0
H16_A0535,0,0
H16_A2445,1,1
H16_A3453,0,1
H16_B2211,0,0
H16_B0414,0,0
H16_A1229,0,0
H16_A2627,0,1
H16_B0357,0,1
H16_A3017,0,0
H16_A0695,0,0
H16_A3409,0,0
H16_B0070,0,0
H16_B0627,0,0
H16_A2995,0,0
H16_A2996,0,0
H16_B0605,0,0
H16_A3299,0,0
H16_A0073,0,0
H16_B1473,0,0
H16_A0490,0,1
H16_A2777,0,0
H16_B1428,0,1
H16_A3109,0,0
H16_A2505,0,0
H16_B1956,0,0
H16_A3124,0,1
H16_A1847,0,0
H16_A2885,0,0
H16_A0314,0,0
H16_A2251,0,0
H16_A1188,0,1
H16_A1000,0,0
H16_A2860,0,0
H16_A2002,0,0
H16_A2171,0,0
H16_A1439,0,0
H16_A1412,0,0
H16_B1918,0,0
H16_B2378,0,0
H16_A1903,0,0
